NE_NAME;INTERFACE;SITE_ID;DESCRIPTION;IP_ADDR;SUBNET_MASK
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3621;Y8027;eNodeB_Y8027_S1_X2;10.26.10.97;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3653;04505;eNodeB_4505_S1_X2;10.26.10.161;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3657;V5642;eNodeB_V5642_S1_X2;10.26.10.169;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3671;K5630;eNodeB_K5630_S1_X2;10.26.10.197;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3673;M2481;eNodeB_M2481_S1_X2;10.26.10.201;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3677;K9722;eNodeB_K9722_S1_X2;10.26.10.209;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3943;K7640;eNodeB_K7640_S1_X2;10.23.125.225;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3949;04495;eNodeB_4495_S1_X2;10.23.125.213;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3999;A4499;eNodeB_A4499_S1_X2;10.23.125.113;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.4069;K7616;eNodeB_K7616_S1_X2;10.23.124.229;255.255.255.252
4495-ATN4540012_CALDAG-POC3;GigabitEthernet0/2/7.3571;04492;eNodeB_4492_S1_X2;10.23.124.25;255.255.255.252
4495-ATN4540012_CALDAG-POC3;GigabitEthernet0/2/7.4071;K7615;eNodeB_K7615_S1_X2;10.23.124.225;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/18.3531;K5694;eNodeB_K5694_S1_X2;10.202.178.217;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/18.3697;A3267;eNodeB_A3267_S1_X2;10.202.177.141;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/18.3811;A3282;eNodeB_A3282_S1_X2;10.202.186.9;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/18.3893;A3283;eNodeB_A3283_S1_X2;10.202.185.101;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/19.3665;C3219;eNodeB_C3219_S1_X2;10.202.177.205;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/19.3729;B4769;eNodeB_B4769_S1_X2;10.202.191.93;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/19.3763;Y5654;eNodeB_Y5654_S1_X2;10.202.191.25;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/19.3853;A3286;eNodeB_A3286_S1_X2;10.202.185.181;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/19.3861;03277;eNodeB_3277_S1_X2;10.202.190.85;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/19.3899;02398;eNodeB_2398_S1_X2;10.26.31.77;255.255.255.252
3277-ATN24200152_GULENDAG_RL-POC3;GigabitEthernet0/2/20.4091;V8687;eNodeB_V8687_S1_X2;10.29.143.137;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.3503;A6314;eNodeB_A6314_S1_X2;10.23.44.241;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.3595;K8270;eNodeB_K8270_S1_X2;10.23.44.57;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.3825;B6304;eNodeB_B6304_S1_X2;10.23.42.109;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.3827;06318;eNodeB_6318_S1_X2;10.23.42.105;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.3921;V4179;eNodeB_V4179_S1_X2;10.23.41.173;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.3935;A4540;eNodeB_A4540_S1_X2;10.23.41.145;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.4027;M2755;eNodeB_M2755_S1_X2;10.23.40.217;255.255.255.252
T-T070316-ATN4620026_AKCAABAT_HUB-POC3;Eth-Trunk1.4083;K3392;eNodeB_K3392_S1_X2;10.23.40.105;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/2.3939;V1552;eNodeB_V1552_S1_X2;10.23.163.105;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/3.3491;03633;eNodeB_3633_S1_X2;10.23.162.45;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/4.3883;Y1897;eNodeB_Y1897_S1_X2;10.23.163.217;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/4.3885;V6791;eNodeB_V6791_S1_X2;10.23.163.213;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/4.4021;A3651;eNodeB_A3651_S1_X2;10.23.162.197;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.3507;C1692;eNodeB_C1692_S1_X2;10.23.162.25;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.3867;03649;eNodeB_3649_S1_X2;10.23.163.249;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.3933;A3648;eNodeB_A3648_S1_X2;10.23.163.117;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.3943;D4328;eNodeB_D4328_S1_X2;10.23.163.97;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.4069;03651;eNodeB_3651_S1_X2;10.23.162.101;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.4081;M9384;eNodeB_M9384_S1_X2;10.23.162.77;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/1/5.4087;K8522;eNodeB_K8522_S1_X2;10.23.162.65;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/2/1.3575;S1752;eNodeB_S1752_S1_X2;10.29.88.173;255.255.255.252
3633-ATN22834220_BILECIK_ORGANIZE_SANAYI-POC3;GigabitEthernet0/2/1.4071;V6468;eNodeB_V6468_S1_X2;10.23.162.97;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.3699;H7243;eNodeB_H7243_S1_X2;10.23.146.137;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.3751;A2989;eNodeB_A2989_S1_X2;10.23.89.225;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.3959;K6311;eNodeB_K6311_S1_X2;10.23.88.65;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.3967;C3185;eNodeB_C3185_S1_X2;10.23.88.49;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.3975;03012;eNodeB_3012_S1_X2;10.23.88.33;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.3981;02996;eNodeB_2996_S1_X2;10.23.88.21;255.255.255.252
K6311-ATN27200153_BOLVADIN_MERKEZ_1-POC3;GigabitEthernet0/2/3.4047;V3990;eNodeB_V3990_S1_X2;10.23.87.145;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/2.3589;Y6255;eNodeB_Y6255_S1_X2;10.26.14.209;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.3509;S1265;eNodeB_S1265_S1_X2;10.29.149.109;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.3527;V3393;eNodeB_V3393_S1_X2;10.26.14.85;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.3587;Y3436;eNodeB_Y3436_S1_X2;10.23.16.41;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.3919;M7272;eNodeB_M7272_S1_X2;10.23.13.145;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.3957;K7119;eNodeB_K7119_S1_X2;10.23.13.69;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.3995;G2243;eNodeB_G2243_S1_X2;10.23.12.249;255.255.255.252
K7119-ATN3620044_DOKTORLAR_SITESI-POC3;GigabitEthernet0/2/3.4001;H7873;eNodeB_H7873_S1_X2;10.23.12.237;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3471;V6759;eNodeB_V6759_S1_X2;10.29.112.149;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3495;Y4124;eNodeB_Y4124_S1_X2;10.202.47.225;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3497;0F246;eNodeB_F246_S1_X2;10.202.43.45;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3508;V6043;eNodeB_V6043_S1_X2;10.29.112.93;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3529;00760;eNodeB_760_S1_X2;10.202.14.205;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3531;V6057;eNodeB_V6057_S1_X2;10.29.112.229;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3573;V2614;eNodeB_V2614_S1_X2;10.29.113.57;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3601;K7488;eNodeB_K7488_S1_X2;10.202.14.61;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3663;V7816;eNodeB_V7816_S1_X2;10.29.113.241;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3719;0B224;eNodeB_B224_S1_X2;10.202.22.177;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3741;M6091;eNodeB_M6091_S1_X2;10.202.45.245;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3747;K1898;eNodeB_K1898_S1_X2;10.202.36.137;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3755;Y4412;eNodeB_Y4412_S1_X2;10.26.34.221;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3771;0B716;eNodeB_B716_S1_X2;10.202.50.105;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3783;V7298;eNodeB_V7298_S1_X2;10.202.31.145;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3835;K9655;eNodeB_K9655_S1_X2;10.202.40.137;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3849;M4526;eNodeB_M4526_S1_X2;10.202.31.13;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3883;Y4057;eNodeB_Y4057_S1_X2;10.202.16.185;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3947;00545;eNodeB_545_S1_X2;10.202.20.233;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3959;K9863;eNodeB_K9863_S1_X2;10.29.122.249;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3967;H7379;eNodeB_H7379_S1_X2;10.202.20.193;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.3991;V7030;eNodeB_V7030_S1_X2;10.29.121.53;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.4007;V1575;eNodeB_V1575_S1_X2;10.202.1.177;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.4029;S1662;eNodeB_S1662_S1_X2;10.29.124.177;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.4057;V1575;eNodeB_V1575_S1_X2;10.26.37.57;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk1.4087;D1530;eNodeB_D1530_S1_X2;10.29.121.245;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk2.3471;V7299;eNodeB_V7299_S1_X2;10.29.123.73;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk2.3495;K2682;eNodeB_K2682_S1_X2;10.202.29.33;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk2.4001;V1924;eNodeB_V1924_S1_X2;10.202.1.189;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;Eth-Trunk2.4063;0B507;eNodeB_B507_S1_X2;10.202.5.241;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/3.3679;M6238;eNodeB_M6238_S1_X2;10.202.32.97;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/3.3893;V8065;eNodeB_V8065_S1_X2;10.29.123.141;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/3.4039;M4511;eNodeB_M4511_S1_X2;10.202.48.81;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/3.4047;M7047;eNodeB_M7047_S1_X2;10.202.48.65;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/6.3769;Y2079;eNodeB_Y2079_S1_X2;10.202.31.173;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/6.3827;Y2080;eNodeB_Y2080_S1_X2;10.202.31.57;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/9/6.3957;Y1766;eNodeB_Y1766_S1_X2;10.202.30.53;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/10/3.3767;K5325;eNodeB_K5325_S1_X2;10.202.50.113;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/10/3.3781;00864;eNodeB_864_S1_X2;10.202.50.85;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/10/3.3829;A1477;eNodeB_A1477_S1_X2;10.202.54.165;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/10/3.3997;H7304;eNodeB_H7304_S1_X2;10.26.36.193;255.255.255.252
A117(M)-PTN2128258_ECE_PLAZA-POC3;GigabitEthernet0/10/3.4043;K7250;eNodeB_K7250_S1_X2;10.202.48.73;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3527;B1625;eNodeB_B1625_S1_X2;10.29.149.145;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3917;K7130;eNodeB_K7130_S1_X2;10.26.8.1;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3941;K9837;eNodeB_K9837_S1_X2;10.23.172.197;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3947;A6084;eNodeB_A6084_S1_X2;10.26.8.61;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3959;A6099;eNodeB_A6099_S1_X2;10.26.8.85;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3983;06075;eNodeB_6075_S1_X2;10.23.172.113;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3993;A6086;eNodeB_A6086_S1_X2;10.26.8.153;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.3997;06080;eNodeB_6080_S1_X2;10.26.8.161;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/2.4041;Y5010;eNodeB_Y5010_S1_X2;10.26.8.249;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/5.3933;A6083;eNodeB_A6083_S1_X2;10.26.8.33;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/5.3937;A1622;eNodeB_A1622_S1_X2;10.26.8.41;255.255.255.252
6075-ATN3680004_BOYABAT_BURNUK-POC3;GigabitEthernet0/2/5.4029;06073;eNodeB_6073_S1_X2;10.23.172.21;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;Eth-Trunk1.3611;Y6054;eNodeB_Y6054_S1_X2;10.202.126.169;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;Eth-Trunk1.3775;B2004;eNodeB_B2004_S1_X2;10.202.116.1;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/2.3519;V6799;eNodeB_V6799_S1_X2;10.202.103.241;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/2.3573;V4070;eNodeB_V4070_S1_X2;10.202.131.165;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/2.3737;A1801;eNodeB_A1801_S1_X2;10.202.102.61;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/2.4017;01822;eNodeB_1822_S1_X2;10.202.123.125;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/2.4025;B2058;eNodeB_B2058_S1_X2;10.202.118.189;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/8.3555;E1951;eNodeB_E1951_S1_X2;10.202.113.9;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/8.3657;B2094;eNodeB_B2094_S1_X2;10.202.126.77;255.255.255.252
B2004-ATN31200154_ALINTERI_BULVARI-POC3;GigabitEthernet0/2/8.4075;K7381;eNodeB_K7381_S1_X2;10.202.99.153;255.255.255.252
G3434-ATN25200408_OLUDENIZ_TT-POC3;Eth-Trunk1.3895;K4997;eNodeB_K4997_S1_X2;10.202.204.33;255.255.255.252
G3434-ATN25200408_OLUDENIZ_TT-POC3;Eth-Trunk1.3973;G3434;eNodeB_G3434_S1_X2;10.202.208.53;255.255.255.252
4893-ATN33800155_SIYASER-POC3;GigabitEthernet0/2/3.3507;04893;eNodeB_4893_S1_X2;10.23.152.185;255.255.255.252
4893-ATN33800155_SIYASER-POC3;GigabitEthernet0/2/3.3515;03776;eNodeB_3776_S1_X2;10.23.152.169;255.255.255.252
4893-ATN33800155_SIYASER-POC3;GigabitEthernet0/2/3.3541;K8325;eNodeB_K8325_S1_X2;10.23.152.117;255.255.255.252
4893-ATN33800155_SIYASER-POC3;GigabitEthernet0/2/3.3565;B3779;eNodeB_B3779_S1_X2;10.23.152.69;255.255.255.252
4893-ATN33800155_SIYASER-POC3;GigabitEthernet0/2/3.3573;M2554;eNodeB_M2554_S1_X2;10.23.152.53;255.255.255.252
4893-ATN33800155_SIYASER-POC3;GigabitEthernet0/2/3.4019;V9194;eNodeB_V9194_S1_X2;10.26.51.233;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;Eth-Trunk1.3521;V2838;eNodeB_V2838_S1_X2;10.26.56.49;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;Eth-Trunk1.3531;Y5353;eNodeB_Y5353_S1_X2;10.26.72.145;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;Eth-Trunk1.3539;V3439;eNodeB_V3439_S1_X2;10.26.72.181;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;Eth-Trunk1.3563;S1497;eNodeB_S1497_S1_X2;10.29.111.225;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;Eth-Trunk1.3651;Y4560;eNodeB_Y4560_S1_X2;10.23.20.89;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;Eth-Trunk1.3681;Y1329;eNodeB_Y1329_S1_X2;10.23.20.29;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/0.3539;V3592;eNodeB_V3592_S1_X2;10.26.72.177;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/0.4009;K8474;eNodeB_K8474_S1_X2;10.23.17.141;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/2.3523;M8393;eNodeB_M8393_S1_X2;10.23.21.89;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/2.3555;V3992;eNodeB_V3992_S1_X2;10.26.72.245;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/2.3809;D2311;eNodeB_D2311_S1_X2;10.23.19.29;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/2.3847;K8475;eNodeB_K8475_S1_X2;10.23.18.209;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/2.4013;K1352;eNodeB_K1352_S1_X2;10.23.17.133;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/2.4023;Y4559;eNodeB_Y4559_S1_X2;10.23.22.33;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/3.3827;04441;eNodeB_04441_S1_X2;10.23.18.249;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/4.3721;V6583;eNodeB_V6583_S1_X2;10.26.91.161;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/10.3577;V2068;eNodeB_V2068_S1_X2;10.26.56.161;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/10.3705;V6476;eNodeB_V6476_S1_X2;10.26.91.177;255.255.255.252
V2068-ATN34200155_GZP_UNIVERSITE_2_YENI-POC3;GigabitEthernet0/2/10.3779;V4396;eNodeB_V4396_S1_X2;10.26.91.101;255.255.255.252
V5613-ATN41600022_ORGANIZE_KENT-POC3;GigabitEthernet0/2/12.3737;S1188;eNodeB_S1188_S1_X2;10.29.78.217;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;Eth-Trunk1.3665;V6318;eNodeB_V6318_S1_X2;10.29.110.161;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;Eth-Trunk1.3733;V2323;eNodeB_V2323_S1_X2;10.202.111.165;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;Eth-Trunk1.3953;M6102;eNodeB_M6102_S1_X2;10.202.123.253;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;Eth-Trunk1.4013;B2134;eNodeB_B2134_S1_X2;10.202.123.133;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;GigabitEthernet0/2/10.3595;V5646;eNodeB_V5646_S1_X2;10.29.110.21;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;GigabitEthernet0/2/13.3595;M8518;eNodeB_M8518_S1_X2;10.202.122.25;255.255.255.252
B2134-ATN31200155_ILKYERLESIM_MAH-POC3;GigabitEthernet0/2/13.3929;K4347;eNodeB_K4347_S1_X2;10.202.124.45;255.255.255.252
